2025-08-25 16:06:18,597 | INFO     | core.lifespan | info:44 | Successfully connected to MongoDB
2025-08-25 16:06:18,607 | INFO     | core.lifespan | info:44 | Beanie initialized successfully
2025-08-25 16:06:22,228 | INFO     | core.lifespan | info:44 | Service factory initialized successfully
2025-08-25 16:06:22,230 | INFO     | core.lifespan | info:44 | Application startup completed successfully
2025-08-25 16:21:36,640 | INFO     | core.lifespan | info:44 | Shutting down application...
2025-08-25 16:21:36,645 | INFO     | core.lifespan | info:44 | MongoDB connection closed
2025-08-25 16:21:36,648 | INFO     | core.lifespan | info:44 | Application shutdown completed successfully
2025-08-28 12:45:05,475 | INFO     | core.lifespan | info:44 | Starting up application...
2025-08-28 12:45:05,694 | INFO     | core.lifespan | info:44 | Successfully connected to MongoDB
2025-08-28 12:45:05,705 | INFO     | core.lifespan | info:44 | Beanie initialized successfully
2025-08-28 12:45:07,679 | INFO     | core.lifespan | info:44 | Service factory initialized successfully
2025-08-28 12:45:07,682 | INFO     | core.lifespan | info:44 | Application startup completed successfully
2025-08-28 13:06:49,627 | INFO     | core.lifespan | info:44 | Shutting down application...
2025-08-28 13:06:49,634 | INFO     | core.lifespan | info:44 | MongoDB connection closed
2025-08-28 13:06:49,638 | INFO     | core.lifespan | info:44 | Application shutdown completed successfully
2025-08-30 03:23:12,408 | INFO     | core.lifespan | info:44 | Starting up application...
2025-08-30 03:23:13,032 | INFO     | core.lifespan | info:44 | Successfully connected to MongoDB
2025-08-30 03:23:13,041 | INFO     | core.lifespan | info:44 | Beanie initialized successfully
2025-08-30 03:23:19,280 | INFO     | core.lifespan | info:44 | Service factory initialized successfully
2025-08-30 03:23:19,282 | INFO     | core.lifespan | info:44 | Application startup completed successfully
2025-08-30 03:44:35,680 | INFO     | core.lifespan | info:44 | Shutting down application...
2025-08-30 03:44:35,689 | INFO     | core.lifespan | info:44 | MongoDB connection closed
2025-08-30 03:44:35,694 | INFO     | core.lifespan | info:44 | Application shutdown completed successfully
